Line,Reason
2026-03-21T14:50:24.789Z - GET / 200 54.442 ms - -,Not /api/ endpoint
2026-03-21T14:50:26.593Z - GET /@react-refresh 304 10.738 ms - -,Not /api/ endpoint
2026-03-21T14:50:26.635Z - GET /@vite/client 200 60.338 ms - -,Not /api/ endpoint
2026-03-21T14:50:26.653Z - GET /src/main.tsx 304 76.699 ms - -,Not /api/ endpoint
2026-03-21T14:50:26.658Z - GET /node_modules/vite/dist/client/env.mjs 304 2.130 ms - -,Not /api/ endpoint
2026-03-21T14:50:26.770Z - GET /src/App.tsx 304 26.546 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.192Z - GET /src/index.css 304 447.479 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.393Z - GET /src/components/Layout.tsx 304 30.726 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.411Z - GET /src/context/AuthContext.tsx 304 594.281 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.419Z - GET /src/pages/MessDetails.tsx 304 58.111 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.420Z - GET /src/pages/Portfolio.tsx 304 22.684 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.426Z - GET /src/pages/Feedback.tsx 304 66.348 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.426Z - GET /src/pages/Login.tsx 304 608.513 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.433Z - GET /src/pages/Dashboard.tsx 304 73.044 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.439Z - GET /src/pages/AuditLogs.tsx 304 0.074 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.444Z - GET /src/pages/Performance.tsx 304 0.063 ms - -,Not /api/ endpoint
2026-03-21T14:50:27.445Z - GET /src/pages/AdminStudents.tsx 304 0.067 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.069Z - GET / 304 11.389 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.086Z - GET /@vite/client 304 0.728 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.088Z - GET /src/main.tsx 304 0.158 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.090Z - GET /@react-refresh 304 0.126 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.092Z - GET /node_modules/vite/dist/client/env.mjs 304 0.271 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.094Z - GET /src/index.css 304 0.249 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.096Z - GET /src/App.tsx 304 0.193 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.102Z - GET /src/context/AuthContext.tsx 304 0.179 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.103Z - GET /src/pages/Login.tsx 304 0.152 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.105Z - GET /src/components/Layout.tsx 304 0.096 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.106Z - GET /src/pages/Dashboard.tsx 304 0.085 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.107Z - GET /src/pages/MessDetails.tsx 304 0.085 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.108Z - GET /src/pages/Feedback.tsx 304 0.102 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.110Z - GET /src/pages/Portfolio.tsx 304 0.183 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.111Z - GET /src/pages/AuditLogs.tsx 304 0.158 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.112Z - GET /src/pages/Performance.tsx 304 0.122 ms - -,Not /api/ endpoint
2026-03-21T14:53:21.113Z - GET /src/pages/AdminStudents.tsx 304 0.096 ms - -,Not /api/ endpoint
